KEY,en,notes,sp,fr,de,it,pt-br,ja
KEYWORD_QUIVERED_DESC,{stacks} extra basic attacks that are saved across turns if unused.,,"Hay {stacks} ataques básicos extras que, de no usarse, se guardan para otro turno.","{stacks} attaques de base bonus, conservées d'un tour à l'autre si elle ne sont pas utilisées.","{stacks} zusätzliche Angriffe, die über Züge hinweg erhalten bleiben, wenn sie nicht genutzt werden.",{stacks} attacchi base aggiuntivi che vengono conservati tra i turni se non vengono utilizzati.,{stacks} ataques básicos adicionais que persistem entre turnos se não forem utilizados.,未使用時に​ターンを​またいで​保存される{stacks}回の​追加通常攻撃にゃ。[b][/b]
KEYWORD_QUIVERED_DESC_STACKLESS,An extra basic attack that is saved across turns if unused.,,"Hay un ataque básico extra que, de no usarse, se guarda para otro turno.","Une attaque de base bonus, conservée d'un tour à l'autre si elle n'est pas utilisée.","Ein zusätzlicher Angriff, der über Züge hinweg erhalten bleibt, wenn er nicht genutzt wird.",Un attacco base aggiuntivo che viene conservato tra i turni se non viene utilizzato.,Um ataque básico adicional que persiste entre turnos se não for utilizado.,未使用時に​ターンを​またいで​保存される​追加通常攻撃にゃ。[b][/b]
KEYWORD_RANGEUP_NAME,Range Up,,Alcance aumentado,Portée (+),Reichweite hoch,Raggio d'Azione +,Alcance Aumentado,射程上昇
KEYWORD_RANGEUP_DESC,Range increased by {stacks}.,,El alcance aumenta en {stacks}.,Portée +{stacks}.,Reichweite um {stacks} erhöht.,Il raggio d'azione aumenta di {stacks}.,O alcance é aumentado em {stacks}.,射程が{stacks}上昇にゃ。
KEYWORD_RANGEUP_DESC_STACKLESS,Increases the range of your basic attack and projectile abilities.,,Aumenta el alcance del ataque básico y las habilidades con proyectiles.,Augmente la portée de votre attaque de base et de vos capacités à projectiles.,Erhöht die Reichweite deines Grundangriffs und deiner Geschossfähigkeiten.,Aumenta il raggio d'azione del tuo attacco base e delle abilità con i proiettili.,Aumenta o alcance do seu ataque básico e de habilidades de projéteis.,通常攻撃と​弾道アビリティの​射程が​上昇するにゃ。[b][/b]
KEYWORD_RANDOMINJURY_NAME,Random Injury,,Lesión al azar,Blessure aléatoire,Zufällige Verletzung,Ferita Casuale,Ferimento Aleatório,ランダムケガ
KEYWORD_RANDOMINJURY_DESC,"Gain a random injury that lowers one of your stats by 1, permanently.",,Sufre una lesión al azar que reduce para siempre uno de los atributos en 1.,Vous subissez une blessure aléatoire qui diminue l'une de vos statistiques de 1&nbsp;de façon permanente.,"Erleide eine zufällige Verletzung, die eines deiner Attribute dauerhaft um 1 verringert.",Subisci una ferita casuale che riduce una delle tue statistiche di 1 in modo permanente.,Obtenha um ferimento aleatório que diminui permanentemente um de seus atributos em 1.,ステータスの​1つを​永続的に​1低下させる​ランダムな​ケガを​負うにゃ。[b][/b]
KEYWORD_HEALRANDOMINJURY_NAME,Cure Random Injury,,Cura para lesión al azar,Soin d'une blessure aléatoire,Zufällige Verletzung heilen,Cura Ferita Casuale,Curar Ferimento Aleatório,ランダムケガ治療
KEYWORD_HEALRANDOMINJURY_DESC,"Cure a random injury that was permanently lowering one of your stats, if you have any.",,"Cura una lesión al azar que reducía para siempre uno de los atributos, si la tenía.",Soigne aléatoirement une blessure qui diminuait de façon permanente l'une de vos statistiques.,"Heile eine zufällige Verletzung, die eines deiner Attribute dauerhaft um 1 verringert hat, falls du eine hast.",Cura una ferita casuale (se ne hai una) che stava riducendo permanentemente una delle tue statistiche.,"Cure um ferimento aleatório que estava diminuindo permanentemente um de seus atributos, se você possuir algum.",あれば、​ステータスを​永続的に​低下させていた​ランダムな​ケガを​1つ治療するにゃ。[b][/b]
KEYWORD_SPARKLE_NAME,Sparkle,,Destello,Étincelle,Funken,Scintilla,Fagulha,火花
KEYWORD_SPARKLE_DESC,A projectile that deals 1 magic damage to a random enemy.,,Lanza un proyectil que inflige 1 de daño mágico a un enemigo al azar.,Un projectile qui inflige 1&nbsp;dégât magique à un ennemi aléatoire.,"Ein Geschoss, das einem zufälligen Gegner 1&nbsp;magischen Schaden zufügt.",Un proiettile che infligge 1 di danno magico a un nemico casuale.,Um projétil que causa 1 de dano mágico a um inimigo aleatório.,ランダムな​敵に​1魔法ダメージを​与える​弾道にゃ。[b][/b]
KEYWORD_TEMPITEM_NAME,Temporary Item,,Objeto temporal,Objet temporaire,Temporärer Gegenstand,Oggetto Temporaneo,Item Temporário,一時アイテム
KEYWORD_TEMPITEM_DESC,Is lost at the end of the battle.,,Se pierde al final del combate.,Disparaît à la fin du combat.,Verschwindet am Ende des Kampfes.,Viene perso alla fine della battaglia.,É perdido no final da batalha.,バトル終了時に​失われるにゃ。
KEYWORD_TEMPRANGE_NAME,Range Up (Temporary),,Alcance aumentado (temporal),Portée (+) (temporaire),Reichweite hoch (Vorübergehend),Raggio d'Azione + (Temporaneo),Alcance Aumentado (Temporário),射程上昇(一時)
KEYWORD_TEMPRANGE_DESC,Range increased by {stacks} until the end of the turn.,,El alcance aumenta en {stacks} hasta el final del turno.,Portée +{stacks} jusqu'à la fin du tour.,Reichweite ist bis zum Ende des Zuges um {stacks} erhöht.,Il raggio d'azione aumenta di {stacks} fino alla fine del turno.,O alcance é aumentado em {stacks} até o final do turno.,ターン終了まで​射程が{stacks}上昇にゃ。[b][/b]
KEYWORD_TEMPRANGE_DESC_STACKLESS,Increases the range of your basic attack and projectile abilities until the end of the turn.,,Aumenta el alcance del ataque básico y las habilidades con proyectiles hasta el final del turno.,Augmente la portée de votre attaque de base et de vos capacités à projectiles jusqu'à la fin du tour.,Erhöht die Reichweite deines Grundangriffs und deiner Geschossfähigkeiten bis zum Ende des Zuges.,Aumenta il raggio d'azione del tuo attacco base e delle abilità con i proiettili fino alla fine del turno.,Aumenta o alcance do seu ataque básico e de habilidades de projéteis até o final do turno.,ターン終了まで​通常攻撃と​弾道アビリティの​射程が​上昇するにゃ。[b][/b]
KEYWORD_REDUCEMANACOST_NAME,Insight,,Perspicacia,Réflexion,Erkenntnis,Intuizione,Discernimento,洞察
KEYWORD_REDUCEMANACOST_DESC,Spells cost {stacks} less mana to cast.,,Los hechizos cuestan {stacks} menos de maná.,Les sorts coûtent -{stacks} mana.,Zauber kosten {stacks}&nbsp;Mana weniger.,Lanciare gli incantesimi costa {stacks} mana in meno.,Encantamentos custam {stacks} a menos de mana para serem lançados.,スペル詠唱コストが{stacks}マナ減少するにゃ。
KEYWORD_REDUCEMANACOST_DESC_STACKLESS,Spells cost less mana to cast.,,Los hechizos cuestan menos maná.,Les sorts coûtent moins de mana.,Zauber kosten weniger.,Lanciare gli incantesimi costa mana in meno.,Encantamentos custam menos mana para serem lançados.,スペル詠唱コストが​減少するにゃ。[b][/b]
KEYWORD_INSIGHT_NAME,Insight,,Perspicacia,Réflexion,Erkenntnis,Intuizione,Discernimento,洞察
KEYWORD_INSIGHT_DESC,"Spells cost {stacks} less mana to cast, excluding Brainstorm.",,"Los hechizos cuestan {stacks} menos de maná, salvo Lluvia de ideas.","Les sorts coûtent -{stacks} mana, Introspection mis à part.","Zauber kosten {stacks}&nbsp;Mana weniger, ausgenommen von Geistesblitz.",Lanciare gli incantesimi (escluso Tempesta Cerebrale) costa {stacks} mana in meno.,"Encantamentos custam {stacks} a menos de mana para serem lançados, com exceção de Troca de Ideias.",ブレインストーム以外の​スペル詠唱コストが{stacks}マナ減少するにゃ。[b][/b]
KEYWORD_INSIGHT_DESC_STACKLESS,"Spells cost less mana to cast, excluding Brainstorm. (cannot reduce cost to 0).",,"Los hechizos cuestan menos maná, salvo Lluvia de ideas (el coste no puede reducirse a 0).","Les sorts coûtent moins de mana, Introspection mis à part. (Ne peuvent pas être gratuits.)","Zauber kosten weniger, ausgenommen von Geistesblitz. (Kosten können nicht auf 0 reduziert werden).",Lanciare gli incantesimi (escluso Tempesta Cerebrale) costa {stacks} mana in meno (non si può ridurre il costo a 0).,"Encantamentos custam menos mana para serem lançados, com exceção de Troca de Ideias (impossível reduzir o custo para 0).",ブレインストーム以外の​スペル詠唱コストが​減少するにゃ。​(0には​できないにゃ)[b][/b]
KEYWORD_REFLECT_NAME,Reflect,,Devolución,Renvoi,Reflektieren,Riflessione,Reflexão,反射
KEYWORD_REFLECT_DESC,Reflects the next {stacks} projectiles you are hit with back at the attacker.,,Devuelve hacia el atacante los siguientes {stacks} proyectiles que golpeen a esta unidad.,Renvoie les {stacks} prochains projectiles qui vous ciblent.,"Reflektiert die nächsten {stacks}&nbsp;Geschosse, die dich treffen würden, zurück zum Angreifer.",Riflette i prossimi {stacks} proiettili che ti vengono sparati contro verso l'attaccante.,Reflete os próximos projéteis que acertarem você de volta para o agressor.,次に​受ける{stacks}発の​弾道を​攻撃者に​跳ね返すにゃ。[b][/b]
KEYWORD_REFLECT_DESC_STACKLESS,Reflect the next projectile you're hit with back at the attacker.,,Devuelve hacia el atacante el siguiente proyectil que golpee a esta unidad.,Renvoie le prochain projectile qui vous cible.,"Reflektiert das nächste Geschoss, das dich treffen würde, zurück zum Angreifer.",Riflette il prossimo proiettile che ti viene sparato contro verso l'attaccante.,Reflete o próximo projétil que acertar você de volta para o agressor.,次に​受ける​弾道を​攻撃者に​跳ね返すにゃ。[b][/b]
KEYWORD_AUTOREVIVE_NAME,Auto Revive,,Resucitación automática,Réanimation automatique,Automatisches Wiederbeleben,Rianimazione Automatica,Ressurreição Automática,自動蘇生
KEYWORD_AUTOREVIVE_DESC,Revives at the end of the next round.,,Resucita al final de la siguiente ronda.,Réanime à la fin de la prochaine manche.,Wird am Ende der nächsten Runde wiederbelebt.,Si rianima alla fine del round successivo.,Revive no final da próxima rodada.,次の​ラウンド終了時に​蘇生するにゃ。[b][/b]
KEYWORD_AUTOREVIVE_DESC_SINGULAR,Revives at the end of the round.,,Resucita al final de la ronda.,Réanime en fin de manche.,Wird am Ende der Runde wiederbelebt.,Si rianima alla fine del round.,Revive no final da rodada.,ラウンド終了時に​蘇生するにゃ。[b][/b]
KEYWORD_ENERGIZED_NAME,Energized,,Acción energizante,Énergique,Energetisch,Energizzazione,Energização,活性化
KEYWORD_ENERGIZED_DESC,Takes an extra turn. Cannot be Energized again until after that turn ends.,,Juega un turno extra. No puede volver a energizarse hasta que termine ese turno.,Vous jouez un tour bonus. Impossible d'être énergique à nouveau avant la fin de ce tour.,"Hat einen zusätzlichen Zug. Kann diesen Bonus nicht erneut erhalten, bis dieser Zug vorbei ist.",Effettua un turno aggiuntivo. Non può ricevere nuovamente Energizzazione fino a quando non termina quel turno.,Obtém um turno adicional. Impossível energizar novamente antes do fim do turno adicional.,追加ターンを​得るにゃ。​その​ターンが​終わるまで​再度活性化できないにゃ。[b][/b]
KEYWORD_ROT_NAME,Rot,,Putrefacción,Décomposition,Fäulnis,Putrefazione,Apodrecimento,腐敗
KEYWORD_ROT_DESC,Hatches a Fly at the end of its turn. Damage from worms and bugs always crits against this.,,Genera una mosca al final del turno. Las lombrices y los bichos siempre le infligen daño crítico a esta unidad.,Invoque une mouche à la fin de son tour. Les dégâts qui lui sont infligés par les vers et les insectes sont toujours critiques.,Am Ende des Zuges schlüpft eine Fliege aus dieser Einheit. Schaden von Würmern und Insekten ist gegen diese Einheit immer kritisch.,Fa schiudere una Mosca alla fine del suo turno. Il danno da vermi e insetti è sempre critico contro questo bersaglio.,Gera uma mosca no final de seu turno. O dano de vermes e insetos são sempre críticos contra isto.,ターン終了時に​ハエが​孵化するにゃ。​ワームと​虫からの​ダメージは​常に​クリティカルに​なるにゃ。[b][/b]
KEYWORD_SAFEDOOMED_NAME,Doomed,,Condenación,Damnation,Todesurteil,Condanna,Perdição,死の​宣告
KEYWORD_SAFEDOOMED_DESC,"Ticks down at the end of your turn. When it hits 0, Die (without being injured).",,"Se inicia una cuenta atrás al final del turno. Al llegar a 0, muere (sin sufrir lesiones).","Diminue à la fin de votre tour. À 0, meure (sans être blessé).","Zählt am Ende deines Zuges herunter. Stirb, wenn der Timer 0 erreicht (ohne eine Verletzung zu erleiden).","Il valore si riduce alla fine del tuo turno. Quando raggiunge lo 0, muori (senza subire ferite).","Diminui no final de seu turno. Ao chegar a 0, morra (sem sofrer ferimentos).",ターン終了時に​カウントダウン。​0に​なると​死ぬにゃ(ケガは​負わないにゃ)。[b][/b]
KEYWORD_SCRAMBLED_NAME,Scrambled,,Revoltijo,Désordre,Durchgemischt,Scompiglio,Embaralhamento,スクランブル
KEYWORD_SCRAMBLED_DESC,"Abilities are scrambled, temporarily.",,Las habilidades se mezclan temporalmente unas con otras.,Les compétences sont temporairement altérées.,Fähigkeiten sind vorübergehend durchgemischt.,Le abilità sono temporaneamente scombussolate.,Habilidades são temporariamente embaralhadas.,アビリティが​一時的に​シャッフルされるにゃ。[b][/b]
KEYWORD_SERRATED_NAME,Serrated Claws,,Garras serradas,Griffes acérées,Gezackte Klauen,Artigli Seghettati,Garras Serradas,鋸歯状の​爪
KEYWORD_SERRATED_DESC,Basic attack inflicts +{stacks} Bleed.,,El ataque básico inflige +{stacks} de hemorragia.,Votre attaque de base inflige Saignement +{stacks}.,Grundangriffe verursachen +{stacks}&nbsp;Blutung.,L'attacco base infligge +{stacks} Sanguinamento.,Ataques básicos aplicam +{stacks} de sangramento.,通常攻撃が​+{stacks}出血を​付与するにゃ。[b][/b]
KEYWORD_SERRATED_DESC_STACKLESS,Basic attack inflicts Bleed.,,El ataque básico inflige hemorragia.,Votre attaque de base inflige Saignement.,Grundangriffe verursachen Blutung.,L'attacco base infligge Sanguinamento.,O ataque básico aplica sangramento.,通常攻撃が​出血を​付与するにゃ。[b][/b]
KEYWORD_SHIELD_NAME,Shield,,Escudo,Défense,Schild,Scudo,Escudo,シールド
KEYWORD_SHIELD_DESC_STACKLESS,Blocks incoming damage.,,Bloquea el daño sufrido.,Bloque les dégâts que vous subissez.,Blockiert eingehenden Schaden.,Blocca il danno in arrivo.,Bloqueia o dano iminente.,受ける​ダメージを​ブロックするにゃ。[b][/b]
KEYWORD_SHORTCIRCUIT_NAME,Short Circuit,,Cortocircuito,Court-circuit,Kurzschluss,Cortocircuito,Curto-Circuito,ショートサーキット
KEYWORD_SHORTCIRCUIT_DESC,All actions are disabled. Cast Break Circuit to break.,,Todas las acciones están deshabilitadas. Se arregla con Reconexión.,Toutes les actions sont désactivées. Lancer Brise-circuit annule cet effet.,"Alle Aktionen sind deaktiviert. Wirke Sicherung, um sie zu aktivieren.",Tutte le azioni sono disabilitate. Lancia Spezza-Circuito per liberarti.,Todas as ações são desabilitadas. Lance Quebrar Circuito para quebrar.,全ての​行動が​無効にゃ。​ブレイクサーキットを​詠唱して​解除するにゃ。[b][/b]
KEYWORD_SLEEP_NAME,Sleep,,Sueño,Sommeil,Schlaf,Sonno,Sono,睡眠
KEYWORD_SLEEP_DESC,Skip the next {stacks} turns. Being attacked has a chance to wake you up.,,"Esta unidad se salta los siguientes {stacks} turnos. Si la atacan, puede despertarse.",Saute les {stacks} prochains tours. Être attaqué peut vous réveiller.,"Überspringe die nächsten {stacks}&nbsp;Züge. Wenn du angegriffen wirst, wachst du mit gewisser Wahrscheinlichkeit auf.",Salti i prossimi {stacks} turni. Se ti attaccano hai una probabilità di svegliarti.,Pule os próximos {stacks} turnos. Há uma chance de acordar ao sofrer ataques.,次の{stacks}ターンスキップするにゃ。​攻撃されると​目覚める​可能性が​あるにゃ。[b][/b]
KEYWORD_SLEEP_DESC_STACKLESS,Skip the next turn. Being attacked has a chance to wake you up.,,"Esta unidad se salta el siguiente turno. Si la atacan, puede despertarse.",Saute le prochain tour. Être attaqué peut vous réveiller.,"Überspringe den nächsten Zug. Wenn du angegriffen wirst, wachst du mit gewisser Wahrscheinlichkeit auf.",Salti il prossimo turno. Se ti attaccano hai una probabilità di svegliarti.,Pule o próximo turno. Há uma chance de acordar ao sofrer ataques.,次の​ターンを​スキップするにゃ。​攻撃されると​目覚める​可能性が​あるにゃ。[b][/b]
KEYWORD_SLEEPPAR_NAME,Sleep (Paralysis),,Sueño (parálisis),Sommeil (paralysie),Schlaf (Paralyse),Sonno (Paralisi),Sono (Paralisia),睡眠(金縛り)
KEYWORD_SLEEPPAR_DESC,You are asleep until your sleep paralysis demon is killed.,,Esta unidad sigue dormida hasta que el demonio de parálisis del sueño muere.,Vous dormez tant que votre démon de paralysie du sommeil est en vie.,"Du schläfst, bis dein Schlafparalysedämon getötet wurde.",Dormi finché il tuo demone della paralisi del sonno non viene ucciso.,Você adormece até que o demônio da paralisia do sono seja morto.,金縛りの​悪魔が​倒されるまで​眠りから​覚めないにゃ。[b][/b]
KEYWORD_SLOW_NAME,Slow,,Ralentización,Lenteur,Verlangsamung,Rallentamento,Lentidão,鈍足
KEYWORD_SLOW_DESC,Movement range is reduced to 2 for the next {stacks} turns. Takes its turn later.,,El alcance del movimiento se reduce en 2 durante los siguientes {stacks} turnos. Juega el turno más tarde.,Sa portée de déplacement est réduite à 2&nbsp;pour les {stacks} prochains tours. Joue son tour plus tard.,Bewegungsreichweite ist für die nächsten {stacks}&nbsp;Züge um 2 verringert. Die Einheit ist später am Zug.,Il raggio di movimento è ridotto a 2 per i prossimi {stacks} turni. Effettua dopo il suo turno.,O alcance do movimento é reduzido para 2 pelos próximos {stacks} turnos. Usa seu turno mais tarde.,次の{stacks}ターン移動範囲が​2に​減少するにゃ。​ターン順も​遅くなるにゃ。[b][/b]
KEYWORD_SLOW_DESC_STACKLESS,Movement range is reduced to 2. Takes its turn later.,,El alcance del movimiento se reduce en 2. Juega el turno más tarde.,Sa portée de déplacement est réduite à 2. Joue son tour plus tard.,Bewegungsreichweite ist um 2 verringert. Die Einheit ist später am Zug.,Il raggio di movimento è ridotto a 2. Effettua dopo il suo turno.,O alcance do movimento é reduzido para 2. Usa seu turno mais tarde.,移動範囲が​2に​減少するにゃ。​ターン順も​遅くなるにゃ。[b][/b]
KEYWORD_SOULLINK_NAME,Soul Link,,Vínculo de alma,Lien spirituel,Seelenverbindung,Collegamento Spirituale,Conexão de Alma,魂の​リンク
KEYWORD_SOULLINK_DESC,"Whenever a soul linked character loses health, all soul linked characters lose that health as well.",,"Cuando un personaje vinculado pierde salud, todos los personajes vinculados también pierden la misma cantidad de salud.","Chaque fois qu'une unité liée spirituellement perd des PV, toutes les unités liées spirituellement perdent cette même quantité de PV.","Immer, wenn ein Charakter mit Seelenverbindung LP verliert, verlieren alle anderen verbundenen Charaktere ebenfalls so viel LP.","Ogni volta che qualcuno con un collegamento spirituale perde salute, tutti quelli che hanno il collegamento spirituale perdono la stessa quantità di salute.","Sempre que um personagem com a alma conectada perde saúde, todos os personagens com a alma conectada perdem uma quantidade equivalente de saúde.",魂が​リンクした​キャラが​体力を​失うと、​全ての​魂リンクキャラが​その​体力を​失うにゃ。[b][/b]
KEYWORD_SPDUP_NAME,Speed Up,,Velocidad aumentada,Vitesse (+),Geschwindigkeit hoch,Velocità +,Velocidade Aumentada,素早さ上昇
KEYWORD_SPDUP_DESC,Speed increased by {stacks}.Speed affects movement range and turn order.,,La velocidad aumenta en {stacks}.La velocidad afecta al alcance del movimiento y al orden de los turnos.,Vitesse +{stacks}.La vitesse affecte la portée de déplacement et l'ordre du tour.,Geschwindigkeit um {stacks} erhöht.Geschwindigkeit wirkt sich auf die Zugreihenfolge und Bewegungsreichweite aus.,La velocità aumenta di {stacks}.La velocità influenza il raggio di movimento e l'ordine dei turni.,A velocidade é aumentada em {stacks}.A velocidade afeta o alcance do movimento e a ordem dos turnos.,素早さが{stacks}上昇にゃ。​素早さは​移動範囲と​ターン順に​影響するにゃ。[b][/b]
KEYWORD_SPDDOWN_NAME,Speed Down,,Velocidad reducida,Vitesse (-),Geschwindigkeit runter,Velocità -,Velocidade Diminuída,素早さ低下
KEYWORD_SPWDDOWN_DESC,Speed decreased by {absstacks}.Speed affects movement range and turn order.,,La velocidad se reduce en {absstacks}.La velocidad afecta al alcance del movimiento y al orden de los turnos.,Vitesse -{absstacks}.La vitesse affecte la portée de déplacement et l'ordre du tour.,Geschwindigkeit um {absstacks} verringert.Geschwindigkeit wirkt sich auf die Zugreihenfolge und Bewegungsreichweite aus.,La velocità diminuisce di {absstacks}.La velocità influenza il raggio di movimento e l'ordine dei turni.,A velocidade é diminuída em {absstacks}.A velocidade afeta o alcance do movimento e a ordem dos turnos.,素早さが{absstacks}低下にゃ。​素早さは​移動範囲と​ターン順に​影響するにゃ。[b][/b]
KEYWORD_MAGICDMGUP_NAME,Magic Damage Up,,Daño mágico aumentado,Dégâts magiques (+),Magischer Schaden hoch,Danno Magico +,Dano Mágico Aumentado,魔法ダメージ上昇
KEYWORD_MAGICDMGUP_DESC,Magic damage you inflict does {stacks} extra damage.,,El daño mágico inflige {stacks} de daño extra.,Dégâts magiques que vous infligez +{stacks}.,"Magischer Schaden, den du verursachst, verursacht {stacks}&nbsp;zusätzlichen Schaden.",Il danno magico che infliggi produce {stacks} danno aggiuntivo.,O seu dano mágico causa {stacks} de dano adicional.,与える​魔法ダメージが{stacks}増加するにゃ。[b][/b]
KEYWORD_MAGICDMGUP_DESC_STACKLESS,Increases any magical damage you deal.,,Aumenta el daño mágico infligido.,Augmente les dégâts magiques que vous infligez.,"Erhöht magischen Schaden, den du verursachst.",Incrementa qualsiasi danno magico che infliggi.,Aumenta qualquer dano mágico que você causa.,与える​魔法ダメージが​増加するにゃ。[b][/b]
KEYWORD_SPIDERINFESTED_NAME,Infested,,Infestación,Infestation,Infiziert,Infestato,Infestação,寄生
KEYWORD_SPIDERINFESTED_DESC,"The spiders infesting this pop out when it dies, destroying its corpse.",,Las arañas que han infestado a esta unidad surgen para destrozar el cadáver en cuanto muere.,"Les araignées qui l'infestent en jaillissent quand il meurt, détruisant son cadavre.","Die Spinnen, die diese Einheit infiziert haben, platzen hervor, wenn sie stirbt und zerstören ihre Leiche.","I ragni che infestano quest'unità vengono fuori quando muore, distruggendone il cadavere.","As aranhas que estão infestando isto explodem após sua morte, destruindo seu corpo.",寄生してる​蜘蛛が​死亡時に​飛び出し、​死体を​破壊するにゃ。[b][/b]
KEYWORD_STATBOUNTY_NAME,Stat Bounty,,Recompensa de atributos,Prime à stats,Kopfgeld (Attribute),Taglia (Statistiche),Recompensa de Atributo,ステータス報酬
KEYWORD_STATBOUNTY_DESC,Whoever kills this gets All Stats Up {stacks}.,,Quien mata a esta unidad recibe {stacks} de aumento total.,L'unité qui l'élimine bénéficie de Hausse de stats +{stacks}.,"Wer diese Einheit tötet, erhält einen Bonus von {stacks} auf alle Attribute.",Chiunque uccida quest'unità ottiene Aumento delle Statistiche {stacks}.,Quem quer que mate isto obtém todos os atributos aumentados {stacks}.,これを​倒した​者が​全ステータス上昇{stacks}を​得るにゃ。[b][/b]
KEYWORD_STATBOUNTY_DESC_STACKLESS,Whoever kills this gets All Stats Up.,,Quien mata a esta unidad recibe aumento total.,L'unité qui l'élimine bénéficie de Hausse de stats.,"Wer diese Einheit tötet, erhält einen Bonus auf alle Attribute.",Chiunque uccida quest'unità ottiene Aumento delle Statistiche.,Quem quer que mate isto obtém todos os atributos aumentados.,これを​倒した​者が​全ステータス上昇を​得るにゃ。[b][/b]
KEYWORD_STEALTH_NAME,Stealth,,Sigilo,Furtivité,Schleichen,Furtività,Furtividade,ステルス
KEYWORD_STEALTH_DESC,50% Dodge Chance. Lose Stealth when you get hit.,,50 % de probabilidad de esquiva. Pierde sigilo al recibir un golpe.,Chances d'esquive +50&nbsp;%. Vous perdez Furtivité quand vous êtes touché.,"50&nbsp;% Ausweichchance. Dieser Status geht verloren, wenn du getroffen wirst.","50% di probabilità di schivata. Quando ti colpiscono, perdi Furtività.",50% de chance de esquiva. Perca furtividade ao sofrer golpes.,50%回避率にゃ。​攻撃を​受けると​ステルスが​解除されるにゃ。[b][/b]
KEYWORD_STEALTHUNTIL_NAME,Stealth,,Sigilo,Furtivité,Schleichen,Furtività,Furtividade,ステルス
KEYWORD_STEALTHUNTIL_DESC,50% Dodge Chance. Lose Stealth when you get hit or use your basic attack.,,50 % de probabilidad de esquiva. Pierde sigilo al recibir un golpe o al lanzar un ataque básico.,Chances d'esquive +50&nbsp;%. Vous perdez Furtivité quand vous êtes touché ou utilisez votre attaque de base.,"50&nbsp;% Ausweichchance. Dieser Status geht verloren, wenn du getroffen wirst oder deinen Grundangriff verwendest.","50% di probabilità di schivata. Quando ti colpiscono o usi il tuo attacco base, perdi Furtività.",50% de chance de esquiva. Perca furtividade ao sofrer golpes ou utilizar seu ataque básico.,50%回避率にゃ。​攻撃を​受けるか​通常攻撃すると​ステルスが​解除されるにゃ。[b][/b]
KEYWORD_STRUP_NAME,Strength Up,,Fuerza aumentada,Force (+),Stärke hoch,Forza +,Força Aumentada,筋力上昇
KEYWORD_STRUP_DESC,Strength increased by {stacks}.Strength affects melee attack and melee ability damage.,,La fuerza aumenta en {stacks}.La fuerza afecta al daño de los ataques y las habilidades cuerpo a cuerpo.,Force +{stacks}.La force affecte les dégâts des attaques et compétences au corps-à-corps.,Stärke um {stacks} erhöht.Stärke wirkt sich auf den Schaden von Nahkampfangriffen und -fähigkeiten aus.,La forza aumenta di {stacks}.La forza influenza l'attacco corpo a corpo e il danno delle abilità corpo a corpo.,A força é aumentada em {stacks}.A força afeta o dano de ataques e habilidades corpo-a-corpo.,筋力が{stacks}上昇にゃ。​筋力は​近接攻撃と​近接アビリティの​ダメージに​影響するにゃ。[b][/b]
KEYWORD_STRDOWN_NAME,Strength Down,,Fuerza reducida,Force (-),Stärke runter,Forza -,Força Diminuída,筋力低下
KEYWORD_STRDOWN_DESC,Strength decreased by {absstacks}.Strength affects melee attack and melee ability damage.,,La fuerza se reduce en {absstacks}.La fuerza afecta al daño de los ataques y las habilidades cuerpo a cuerpo.,Force -{absstacks}.La force affecte les dégâts des attaques et compétences au corps-à-corps.,Stärke um {absstacks} verringert.Stärke wirkt sich auf den Schaden von Nahkampfangriffen und -fähigkeiten aus.,La forza diminuisce di {absstacks}.La forza influenza l'attacco corpo a corpo e il danno delle abilità corpo a corpo.,A força é diminuída em {absstacks}.A força afeta o dano de ataques e habilidades corpo-a-corpo.,筋力が{absstacks}低下にゃ。​筋力は​近接攻撃と​近接アビリティの​ダメージに​影響するにゃ。[b][/b]
KEYWORD_STUN_NAME,Stun,,Aturdimiento,Étourdissement,Betäubung,Stordimento,Atordoamento,スタン
KEYWORD_STUN_DESC,Skip the next {stacks} turns.,,Se salta los siguientes {stacks} turnos.,Saute les {stacks} prochains tours.,Überspringe die nächsten {stacks}&nbsp;Züge.,Salti i prossimi {stacks} turni.,Pule os próximos {stacks} turnos.,次の{stacks}ターンを​スキップするにゃ。[b][/b]
KEYWORD_STUN_DESC_STACKLESS,Skip the next turn.,,Se salta el siguiente turno.,Saute le prochain tour.,Überspringe den nächsten Zug.,Salti il turno successivo.,Pule o próximo turno.,次の​ターンを​スキップするにゃ。[b][/b]
KEYWORD_TARRED_NAME,Tarred,,Brea,Goudron,Geteert,Catramatura,Piche,タール
KEYWORD_TARRED_DESC,Speed decreased by {stacks}. Flammable.Speed affects movement range and turn order.,,La velocidad se reduce en {stacks}. Inflamable.La velocidad afecta al alcance del movimiento y al orden de los turnos.,Vitesse -{stacks}. Inflammable.La vitesse affecte la portée de déplacement et l'ordre du tour.,Geschwindigkeit um {stacks} verringert. Leicht brennbar.Geschwindigkeit wirkt sich auf die Zugreihenfolge und Bewegungsreichweite aus.,La velocità diminuisce di {stacks}. Infiammabile.La velocità influenza il raggio di movimento e l'ordine dei turni.,A velocidade é diminuída em {stacks}. Inflamável.A velocidade afeta o alcance do movimento e a ordem dos turnos.,素早さが{stacks}低下にゃ。​可燃性にゃ。​素早さは​移動範囲と​ターン順に​影響するにゃ。[b][/b]
